product_id,product_name,product_category,service_type,unit_price,bundle_size,validity_days,target_segment,active_from,active_to
PRD-VOICE-PER-MIN,Domestic Voice Per Minute,voice,usage,35.0,,,Mass Market,2024-01-01,
PRD-SMS-EACH,Domestic SMS,SMS,usage,15.0,,,Mass Market,2024-01-01,
PRD-DATA-PAYG-MB,Pay-As-You-Go Data MB,data,usage,12.0,1.0,,Digital First,2024-01-01,
PRD-DATA-500MB-7D,Student 500MB / 7 Days,data_bundle,bundle,1500.0,500.0,7.0,Youth,2024-01-01,
PRD-DATA-1GB-7D,Data 1GB / 7 Days,data_bundle,bundle,2500.0,1024.0,7.0,Mass Market,2024-01-01,
PRD-DATA-5GB-30D,Data 5GB / 30 Days,data_bundle,bundle,10000.0,5120.0,30.0,Digital First,2024-01-01,
PRD-DATA-15GB-30D,Data 15GB / 30 Days,data_bundle,bundle,25000.0,15360.0,30.0,High Value,2024-01-01,
PRD-VOICE-100-7D,Voice 100 Minutes / 7 Days,voice_bundle,bundle,2000.0,100.0,7.0,Rural,2024-01-01,
PRD-SMS-100-7D,SMS 100 / 7 Days,SMS_bundle,bundle,1000.0,100.0,7.0,Mass Market,2024-01-01,
PRD-COMBO-DAILY,Daily Combo Voice+Data,combo_bundle,bundle,1000.0,,1.0,Youth,2024-01-01,
PRD-COMBO-SME-30D,SME Combo 30 Days,combo_bundle,bundle,35000.0,,30.0,SME,2024-01-01,
PRD-INTL-PER-MIN,International Voice Per Minute,international,usage,450.0,,,High Value,2024-01-01,
PRD-ROAM-PER-MIN,Roaming Voice Per Minute,roaming,usage,800.0,,,Corporate,2024-01-01,
PRD-VAS-RING,Caller Tune VAS,VAS,subscription,500.0,,30.0,Youth,2024-01-01,
PRD-MM-WALLET,Mobile Money Wallet,mobile_money,wallet,0.0,,,SME,2024-01-01,
PRD-CORP-PLAN,Corporate Voice+Data Plan,combo_bundle,plan,120000.0,,30.0,Corporate,2024-01-01,
