region_id,region_code,region_name,district_name,urbanization_level,population_weight,data_adoption_factor,mobile_money_adoption_factor,voice_usage_factor,commercial_potential_factor
DAR-01,DAR,Dar es Salaam,Ilala,urban,0.073333,1.3905,1.339,0.8252,1.442
DAR-02,DAR,Dar es Salaam,Kinondoni,urban,0.073333,1.3365,1.287,0.8586,1.386
DAR-03,DAR,Dar es Salaam,Temeke,urban,0.073333,1.3365,1.287,0.8586,1.386
ARU-01,ARU,Arusha,Arusha City,urban,0.04,1.1845,1.133,0.9223,1.1845
ARU-02,ARU,Arusha,Meru,urban,0.04,1.1385,1.089,0.9596,1.1385
MWA-01,MWA,Mwanza,Nyamagana,urban,0.05,1.133,1.1845,0.9515,1.1536
MWA-02,MWA,Mwanza,Ilemela,urban,0.05,1.089,1.1385,0.9899,1.1088
DOD-01,DOD,Dodoma,Dodoma City,peri-urban,0.035,1.03,1.0815,1.0194,1.0815
DOD-02,DOD,Dodoma,Bahi,peri-urban,0.035,0.99,1.0395,1.0606,1.0395
MBE-01,MBE,Mbeya,Mbeya City,peri-urban,0.035,0.9785,1.03,1.068,1.03
MBE-02,MBE,Mbeya,Rungwe,peri-urban,0.035,0.9405,0.99,1.1111,0.99
MOR-01,MOR,Morogoro,Morogoro Urban,peri-urban,0.03,0.9476,1.0094,1.0874,0.9785
MOR-02,MOR,Morogoro,Kilosa,peri-urban,0.03,0.9108,0.9702,1.1313,0.9405
TAN-01,TAN,Tanga,Tanga City,peri-urban,0.03,0.927,0.9785,1.1165,0.9476
TAN-02,TAN,Tanga,Muheza,peri-urban,0.03,0.891,0.9405,1.1616,0.9108
KIL-01,KIL,Kilimanjaro,Moshi Urban,peri-urban,0.03,1.0815,1.03,0.9709,1.1124
KIL-02,KIL,Kilimanjaro,Hai,peri-urban,0.03,1.0395,0.99,1.0101,1.0692
KAG-01,KAG,Kagera,Bukoba Urban,rural,0.035,0.7725,0.8755,1.2136,0.824
KAG-02,KAG,Kagera,Muleba,rural,0.035,0.7425,0.8415,1.2626,0.792
MTW-01,MTW,Mtwara,Mtwara Urban,rural,0.025,0.721,0.824,1.2621,0.7725
MTW-02,MTW,Mtwara,Newala,rural,0.025,0.693,0.792,1.3131,0.7425
GEI-01,GEI,Geita,Geita Town,rural,0.04,0.8034,0.927,1.165,0.9064
GEI-02,GEI,Geita,Chato,rural,0.04,0.7722,0.891,1.2121,0.8712
TAB-01,TAB,Tabora,Tabora Urban,rural,0.04,0.7416,0.8446,1.2427,0.8034
TAB-02,TAB,Tabora,Nzega,rural,0.04,0.7128,0.8118,1.2929,0.7722
